softonic.com, 35.201.79.227
nifty.com, 222.158.213.148
imageshack.us, 208.94.3.19
tianya.cn, 124.225.65.154
alipay.com, 110.75.129.5
mywebsearch.com, 74.113.237.222
hp.com, 15.72.164.74
zynga.com, 54.230.35.73
hotmail.com, 204.79.197.212
cnn.com, 151.101.1.67
ifeng.com, 123.103.122.24
walmart.com, 161.170.230.170
kugou.com, 183.131.48.92
360.cn, 36.110.213.49
partypoker.com, 195.72.135.96
bbc.co.uk, 151.101.128.81
craigslist.org, 208.82.237.226
ebay.de, 66.135.195.175
youdao.com, 61.135.218.30
yandex.ru, 77.88.55.66
hotfile.com, 18.207.9.28
soku.com, 106.11.47.20
myspace.com, 63.135.90.70
qiyi.com, 101.227.188.176
alibaba.com, 205.204.101.42
weather.com, 104.124.4.55
cnet.com, 64.30.228.118
pconline.com.cn, 219.136.244.85
go.com, 23.236.60.174
megaupload.com,
odnoklassniki.ru, 217.20.155.13
renren.com, 120.133.2.241
4399.com, 118.184.184.70
livedoor.jp, 203.104.153.16
orkut.com, 216.239.36.21
amazon.com, 176.32.98.166
goo.ne.jp, 153.254.147.65
skype.com, 104.40.50.126
blogger.com, 172.217.2.9
wordpress.com, 192.0.78.9
paipai.com,
mail.ru, 94.100.180.202
tudou.com, 106.11.186.25
jp.msn.com, 13.88.15.24
vkontakte.ru, 93.186.225.197
answers.com, 151.101.192.203
ameblo.jp, 72.247.114.130
rapidshare.com, 0.0.0.0
yahoo.co.jp, 183.79.135.206
4shared.com, 204.155.146.95
daum.net, 211.231.99.80
apple.com, 17.172.224.47
7k7k.com, 106.75.22.155
flickr.com, 143.204.34.149
2345.com, 42.62.30.180
hao123.com, 106.120.159.68
amazon.co.jp, 52.119.161.5
windows.com, 40.112.72.205
ebay.com, 66.135.196.249
photobucket.com, 209.17.68.100
pps.tv, 101.227.188.178
linkedin.com, 108.174.10.10
xunlei.com, 39.104.39.191
mediafire.com, 104.19.195.29
dailymotion.com, 195.8.215.136
ehow.com, 23.227.13.162
imdb.com, 52.94.237.74
seesaa.net, 13.33.252.93
facebook.com, 157.240.28.35
aol.com, 66.218.87.12
fc2.com, 35.155.180.173
paypal.com, 64.4.250.37
youtube.com, 172.217.12.14
tmall.com, 140.205.130.99
sogou.com, 118.191.216.42
ku6.com, 117.50.1.222
naver.com, 210.89.160.88
yahoo.com, 72.30.35.10
rakuten.co.jp, 133.237.61.176
about.com, 151.101.130.114
wikipedia.org, 208.80.154.224
orkut.com.br,
msn.com, 13.82.28.61
baidu.com, 123.125.114.144
live.com, 204.79.197.212
blogspot.com, 172.217.1.201
qq.com, 111.161.64.40
microsoft.com, 40.76.4.15
bing.com, 13.107.21.200
sohu.com, 221.179.177.36
taobao.com, 140.205.220.96
soso.com, 118.191.216.42
ask.com, 151.101.70.114
twitter.com, 104.244.42.193
163.com, 123.58.180.7
adobe.com, 192.147.130.204
youku.com, 106.11.186.25
mozilla.com, 63.245.208.194
andysayler.com, 138.197.228.157
wmfo.org, 23.92.21.128
sdjjdsaf.com,
56.com, 221.5.34.99
sina.com.cn, 123.126.55.41
